Åyèáà ÉfÅ[É^Åz
ClassRank,Rank,Class,CarNo,Driver,CarName,Laps,LastLapTime,Time,TimeFired,PitCount,BestLapDriver,BestLapTime,BestLapLap,BestLapClassRank,BestLapRank,ClassGap,ClassInt,Gap,Int,Speed,BestLap(A),BestLap(B)
15,30,300,55,Hideki Mutoh,ARTA,4,02'07.151,11'34.577,13:21'34.577,1,A,02'02.604,3,15,30,1.802,0.114,13.705,0.114,248.13,02'02.604,
16,31,300,244,Kimiya Sato,Max Racing,6,02'24.184,13'00.005,13:23'00.005,1,A,02'02.728,5,16,31,1.926,0.124,13.829,0.124,205.23,02'02.728,
17,32,300,34,Yuji Ide,BUSOU Drago CORSE,5,02'16.447,12'27.027,13:22'27.027,2,B,02'02.866,4,17,32,2.064,0.138,13.967,0.138,244.67,,02'02.866
18,33,300,31,Koki Saga,apr,5,02'11.095,11'49.808,13:21'49.808,1,A,02'03.014,4,18,33,2.212,0.148,14.115,0.148,243.32,02'03.014,
19,34,300,60,Hiroki Yoshimoto,LM corsa,5,02'08.156,11'23.432,13:21'23.432,1,A,02'03.165,3,19,34,2.363,0.151,14.266,0.151,241.31,02'03.165,
20,35,300,56,Kiyoto Fujinami,KONDO RACING,5,02'10.810,11'07.119,13:21'07.119,1,A,02'03.370,4,20,35,2.568,0.205,14.471,0.205,244.67,02'03.370,
21,36,300,11,Hironobu Yasuda,GAINER,5,02'09.289,11'05.304,13:21'05.304,1,A,02'03.511,2,21,36,2.709,0.141,14.612,0.141,244.67,02'03.511,
22,37,300,52,Kohta Kawaai,SAITAMATOYOPET Green Brave,5,02'22.470,13'50.032,13:23'50.032,3,B,02'03.584,4,22,37,2.782,0.073,14.685,0.073,241.31,,02'03.584
23,38,300,10,Riki Okusa,GAINER,6,02'33.950,13'36.785,13:23'36.785,1,B,02'03.596,2,23,38,2.794,0.012,14.697,0.012,196.07,,02'03.596
24,39,300,6,Yoshiaki Katayama,Team LeMans,5,02'27.621,13'43.432,13:23'43.432,2,A,02'04.653,4,24,39,3.851,1.057,15.754,1.057,241.31,02'04.653,
25,40,300,65,Naoya Gamou,K2 R&D LEON RACING,5,02'19.452,12'46.128,13:22'46.128,2,A,02'04.745,3,25,40,3.943,0.092,15.846,0.092,217.96,02'04.745,
26,41,300,48,Taiyo Ida,NILZZ Racing,5,03'49.108,14'09.578,13:24'09.578,3,B,02'06.048,3,26,41,5.246,1.303,17.149,1.303,216.35,,02'06.048
27,42,300,5,Reiji Hiraki,TEAM MACH,1,02'37.517,02'37.517,13:12'37.517,1,,,0,,,23:57:59.198,23:57:53.952,,,237.4,,
